s_m,x_m,y_m,z_ugr_m,radius_estimate_m,xy_method,geo_quality
2500.000,2402.752,388.024,,6536.632,closed_catmull_rom_through_station_anchors,GEO_D
2525.000,2427.697,386.377,,6399.139,closed_catmull_rom_through_station_anchors,GEO_D
2550.000,2452.636,384.632,,6258.959,closed_catmull_rom_through_station_anchors,GEO_D
2575.000,2477.568,382.788,,6116.366,closed_catmull_rom_through_station_anchors,GEO_D
2600.000,2502.492,380.842,,5971.634,closed_catmull_rom_through_station_anchors,GEO_D
2625.000,2527.408,378.792,,5823.576,closed_catmull_rom_through_station_anchors,GEO_D
2650.000,2552.315,376.634,,5669.188,closed_catmull_rom_through_station_anchors,GEO_D
2675.000,2577.212,374.367,,5525.043,closed_catmull_rom_through_station_anchors,GEO_D
2700.000,2602.098,371.987,,5372.727,closed_catmull_rom_through_station_anchors,GEO_D
2725.000,2626.973,369.492,,5210.367,closed_catmull_rom_through_station_anchors,GEO_D
2750.000,2651.836,366.877,,5066.105,closed_catmull_rom_through_station_anchors,GEO_D
2775.000,2676.686,364.139,,4900.337,closed_catmull_rom_through_station_anchors,GEO_D
2800.000,2701.521,361.275,,4749.545,closed_catmull_rom_through_station_anchors,GEO_D
2825.000,2726.341,358.280,,4592.195,closed_catmull_rom_through_station_anchors,GEO_D
2850.000,2751.144,355.150,,4433.404,closed_catmull_rom_through_station_anchors,GEO_D
2875.000,2775.930,351.880,,4275.146,closed_catmull_rom_through_station_anchors,GEO_D
2900.000,2800.695,348.466,,4117.686,closed_catmull_rom_through_station_anchors,GEO_D
2925.000,2825.440,344.901,,3961.283,closed_catmull_rom_through_station_anchors,GEO_D
2950.000,2850.161,341.179,,3806.190,closed_catmull_rom_through_station_anchors,GEO_D
2975.000,2874.858,337.296,,3647.124,closed_catmull_rom_through_station_anchors,GEO_D
3000.000,2899.527,333.243,,3495.211,closed_catmull_rom_through_station_anchors,GEO_D
3025.000,2924.167,329.015,,3336.948,closed_catmull_rom_through_station_anchors,GEO_D
3050.000,2948.774,324.601,,3187.177,closed_catmull_rom_through_station_anchors,GEO_D
3075.000,2973.346,319.995,,4813.505,closed_catmull_rom_through_station_anchors,GEO_D
3100.000,2997.894,315.261,,8818.952,closed_catmull_rom_through_station_anchors,GEO_D
3125.000,3022.455,310.597,,8599.029,closed_catmull_rom_through_station_anchors,GEO_D
3150.000,3047.029,306.004,,10066.347,closed_catmull_rom_through_station_anchors,GEO_D
3175.000,3071.615,301.472,,12085.848,closed_catmull_rom_through_station_anchors,GEO_D
3200.000,3096.210,296.991,,15049.204,closed_catmull_rom_through_station_anchors,GEO_D
3225.000,3120.813,292.551,,19833.831,closed_catmull_rom_through_station_anchors,GEO_D
3250.000,3145.421,288.142,,28894.111,closed_catmull_rom_through_station_anchors,GEO_D
3275.000,3170.033,283.754,,52689.934,closed_catmull_rom_through_station_anchors,GEO_D
3300.000,3194.647,279.378,,288846.571,closed_catmull_rom_through_station_anchors,GEO_D
3325.000,3219.261,275.004,,83703.472,closed_catmull_rom_through_station_anchors,GEO_D
3350.000,3243.874,270.623,,36642.683,closed_catmull_rom_through_station_anchors,GEO_D
3375.000,3268.484,266.225,,23465.265,closed_catmull_rom_through_station_anchors,GEO_D
3400.000,3293.090,261.801,,17231.491,closed_catmull_rom_through_station_anchors,GEO_D
3425.000,3317.689,257.341,,13622.945,closed_catmull_rom_through_station_anchors,GEO_D
3450.000,3342.279,252.835,,11248.238,closed_catmull_rom_through_station_anchors,GEO_D
3475.000,3366.860,248.276,,9565.623,closed_catmull_rom_through_station_anchors,GEO_D
3500.000,3391.429,243.652,,8306.810,closed_catmull_rom_through_station_anchors,GEO_D
3525.000,3415.983,238.954,,7327.468,closed_catmull_rom_through_station_anchors,GEO_D
3550.000,3440.522,234.172,,6550.340,closed_catmull_rom_through_station_anchors,GEO_D
3575.000,3465.042,229.297,,5909.381,closed_catmull_rom_through_station_anchors,GEO_D
3600.000,3489.541,224.318,,5373.208,closed_catmull_rom_through_station_anchors,GEO_D
3625.000,3514.017,219.225,,4917.363,closed_catmull_rom_through_station_anchors,GEO_D
3650.000,3538.466,214.008,,4524.503,closed_catmull_rom_through_station_anchors,GEO_D
3675.000,3562.886,208.655,,4181.988,closed_catmull_rom_through_station_anchors,GEO_D
3700.000,3587.274,203.157,,3880.392,closed_catmull_rom_through_station_anchors,GEO_D
3725.000,3611.626,197.502,,3612.545,closed_catmull_rom_through_station_anchors,GEO_D
3750.000,3635.938,191.678,,3372.898,closed_catmull_rom_through_station_anchors,GEO_D
3775.000,3660.207,185.675,,3157.093,closed_catmull_rom_through_station_anchors,GEO_D
3800.000,3684.427,179.479,,2960.862,closed_catmull_rom_through_station_anchors,GEO_D
3825.000,3708.594,173.079,,2780.550,closed_catmull_rom_through_station_anchors,GEO_D
3850.000,3732.702,166.462,,2620.151,closed_catmull_rom_through_station_anchors,GEO_D
3875.000,3756.746,159.616,,2469.001,closed_catmull_rom_through_station_anchors,GEO_D
3900.000,3780.720,152.526,,2330.236,closed_catmull_rom_through_station_anchors,GEO_D
3925.000,3804.616,145.180,,2203.389,closed_catmull_rom_through_station_anchors,GEO_D
3950.000,3828.427,137.562,,2085.010,closed_catmull_rom_through_station_anchors,GEO_D
3975.000,3852.145,129.660,,1973.610,closed_catmull_rom_through_station_anchors,GEO_D
4000.000,3875.761,121.458,,1872.893,closed_catmull_rom_through_station_anchors,GEO_D
4025.000,3899.266,112.942,,1777.306,closed_catmull_rom_through_station_anchors,GEO_D
4050.000,3922.648,104.096,,1688.292,closed_catmull_rom_through_station_anchors,GEO_D
4075.000,3945.897,94.905,,1605.359,closed_catmull_rom_through_station_anchors,GEO_D
4100.000,3969.000,85.352,,1528.077,closed_catmull_rom_through_station_anchors,GEO_D
4125.000,3991.943,75.423,,1456.071,closed_catmull_rom_through_station_anchors,GEO_D
4150.000,4014.713,65.102,,1389.010,closed_catmull_rom_through_station_anchors,GEO_D
4175.000,4037.293,54.372,,1325.369,closed_catmull_rom_through_station_anchors,GEO_D
4200.000,4059.666,43.219,,1267.569,closed_catmull_rom_through_station_anchors,GEO_D
4225.000,4081.816,31.626,,1213.457,closed_catmull_rom_through_station_anchors,GEO_D
4250.000,4103.721,19.580,,1162.592,closed_catmull_rom_through_station_anchors,GEO_D
4275.000,4125.363,7.066,,1116.269,closed_catmull_rom_through_station_anchors,GEO_D
4300.000,4146.719,-5.930,,1073.780,closed_catmull_rom_through_station_anchors,GEO_D
4325.000,4167.767,-19.420,,1033.586,closed_catmull_rom_through_station_anchors,GEO_D
4350.000,4188.482,-33.415,,997.944,closed_catmull_rom_through_station_anchors,GEO_D
4375.000,4208.840,-47.924,,965.513,closed_catmull_rom_through_station_anchors,GEO_D
4400.000,4228.815,-62.955,,936.074,closed_catmull_rom_through_station_anchors,GEO_D
4425.000,4248.382,-78.515,,909.844,closed_catmull_rom_through_station_anchors,GEO_D
4450.000,4267.514,-94.606,,886.756,closed_catmull_rom_through_station_anchors,GEO_D
4475.000,4286.185,-111.230,,866.465,closed_catmull_rom_through_station_anchors,GEO_D
4500.000,4304.369,-128.386,,849.542,closed_catmull_rom_through_station_anchors,GEO_D
4525.000,4322.039,-146.069,,835.695,closed_catmull_rom_through_station_anchors,GEO_D
4550.000,4339.173,-164.273,,824.684,closed_catmull_rom_through_station_anchors,GEO_D
4575.000,4355.748,-182.988,,816.391,closed_catmull_rom_through_station_anchors,GEO_D
4600.000,4371.741,-202.201,,810.564,closed_catmull_rom_through_station_anchors,GEO_D
4625.000,4387.134,-221.899,,809.026,closed_catmull_rom_through_station_anchors,GEO_D
4650.000,4401.912,-242.062,,808.272,closed_catmull_rom_through_station_anchors,GEO_D
4675.000,4416.059,-262.673,,804.632,closed_catmull_rom_through_station_anchors,GEO_D
4700.000,4429.558,-283.714,,826.702,closed_catmull_rom_through_station_anchors,GEO_D
4725.000,4442.416,-305.153,,889.153,closed_catmull_rom_through_station_anchors,GEO_D
4750.000,4454.666,-326.946,,954.947,closed_catmull_rom_through_station_anchors,GEO_D
4775.000,4466.341,-349.051,,1025.357,closed_catmull_rom_through_station_anchors,GEO_D
4800.000,4477.473,-371.435,,1098.470,closed_catmull_rom_through_station_anchors,GEO_D
4825.000,4488.094,-394.066,,1173.934,closed_catmull_rom_through_station_anchors,GEO_D
4850.000,4498.230,-416.919,,1253.619,closed_catmull_rom_through_station_anchors,GEO_D
4875.000,4507.908,-439.969,,1334.934,closed_catmull_rom_through_station_anchors,GEO_D
4900.000,4517.154,-463.196,,1420.474,closed_catmull_rom_through_station_anchors,GEO_D
4925.000,4525.989,-486.583,,1507.946,closed_catmull_rom_through_station_anchors,GEO_D
4950.000,4534.435,-510.113,,1597.063,closed_catmull_rom_through_station_anchors,GEO_D
4975.000,4542.511,-533.772,,1690.267,closed_catmull_rom_through_station_anchors,GEO_D
5000.000,4550.237,-557.548,,1784.962,closed_catmull_rom_through_station_anchors,GEO_D
5025.000,4557.629,-581.430,,1882.915,closed_catmull_rom_through_station_anchors,GEO_D
5050.000,4564.704,-605.408,,1981.570,closed_catmull_rom_through_station_anchors,GEO_D
5075.000,4571.475,-629.473,,2083.014,closed_catmull_rom_through_station_anchors,GEO_D
5100.000,4577.957,-653.618,,2187.134,closed_catmull_rom_through_station_anchors,GEO_D
5125.000,4584.163,-677.835,,2293.810,closed_catmull_rom_through_station_anchors,GEO_D
5150.000,4590.104,-702.119,,2396.913,closed_catmull_rom_through_station_anchors,GEO_D
5175.000,4595.792,-726.463,,2512.106,closed_catmull_rom_through_station_anchors,GEO_D
5200.000,4601.237,-750.863,,2615.901,closed_catmull_rom_through_station_anchors,GEO_D
5225.000,4606.449,-775.314,,2733.612,closed_catmull_rom_through_station_anchors,GEO_D
5250.000,4611.437,-799.811,,2846.138,closed_catmull_rom_through_station_anchors,GEO_D
5275.000,4616.210,-824.351,,2960.501,closed_catmull_rom_through_station_anchors,GEO_D
5300.000,4620.775,-848.931,,3076.572,closed_catmull_rom_through_station_anchors,GEO_D
5325.000,4625.140,-873.546,,3194.218,closed_catmull_rom_through_station_anchors,GEO_D
5350.000,4629.313,-898.196,,3313.298,closed_catmull_rom_through_station_anchors,GEO_D
5375.000,4633.299,-922.876,,3433.670,closed_catmull_rom_through_station_anchors,GEO_D
5400.000,4637.106,-947.584,,3555.185,closed_catmull_rom_through_station_anchors,GEO_D
5425.000,4640.739,-972.319,,3668.971,closed_catmull_rom_through_station_anchors,GEO_D
5450.000,4644.203,-997.078,,3799.651,closed_catmull_rom_through_station_anchors,GEO_D
5475.000,4647.504,-1021.859,,3919.071,closed_catmull_rom_through_station_anchors,GEO_D
5500.000,4650.647,-1046.660,,4039.682,closed_catmull_rom_through_station_anchors,GEO_D
5525.000,4653.637,-1071.481,,4166.795,closed_catmull_rom_through_station_anchors,GEO_D
5550.000,4656.477,-1096.319,,4287.095,closed_catmull_rom_through_station_anchors,GEO_D
5575.000,4659.173,-1121.173,,4410.491,closed_catmull_rom_through_station_anchors,GEO_D
5600.000,4661.728,-1146.042,,4539.670,closed_catmull_rom_through_station_anchors,GEO_D
5625.000,4664.146,-1170.925,,4651.412,closed_catmull_rom_through_station_anchors,GEO_D
5650.000,4666.430,-1195.820,,4783.662,closed_catmull_rom_through_station_anchors,GEO_D
5675.000,4668.583,-1220.727,,4906.655,closed_catmull_rom_through_station_anchors,GEO_D
5700.000,4670.610,-1245.645,,5022.771,closed_catmull_rom_through_station_anchors,GEO_D
5725.000,4672.513,-1270.572,,5144.104,closed_catmull_rom_through_station_anchors,GEO_D
5750.000,4674.295,-1295.509,,5269.158,closed_catmull_rom_through_station_anchors,GEO_D
5775.000,4675.958,-1320.453,,5387.928,closed_catmull_rom_through_station_anchors,GEO_D
